get time: 0.00037274 s, token_id len: 64, device: cuda:0
get time: 0.00012279 s, token_id len: 1, device: cuda:0
get time: 0.00011911 s, token_id len: 10, device: cuda:0
get time: 0.00011977 s, token_id len: 10, device: cuda:0
get time: 0.00012329 s, token_id len: 3, device: cuda:0
get time: 0.00011963 s, token_id len: 3, device: cuda:0
get time: 0.00013664 s, token_id len: 54, device: cuda:0
get time: 0.00013380 s, token_id len: 54, device: cuda:0
get time: 0.00012255 s, token_id len: 54, device: cuda:0
get time: 0.00012146 s, token_id len: 54, device: cuda:0
get time: 0.00012146 s, token_id len: 57, device: cuda:0
get time: 0.00012362 s, token_id len: 57, device: cuda:0
get time: 0.00011874 s, token_id len: 56, device: cuda:0
get time: 0.00012051 s, token_id len: 56, device: cuda:0
get time: 0.00012135 s, token_id len: 61, device: cuda:0
get time: 0.00012097 s, token_id len: 61, device: cuda:0
get time: 0.00011802 s, token_id len: 61, device: cuda:0
get time: 0.00012109 s, token_id len: 61, device: cuda:0
get time: 0.00013418 s, token_id len: 26, device: cuda:0
get time: 0.00011970 s, token_id len: 26, device: cuda:0
get time: 0.00013744 s, token_id len: 28, device: cuda:0
get time: 0.00012988 s, token_id len: 28, device: cuda:0
get time: 0.00012328 s, token_id len: 64, device: cuda:0
get time: 0.00012154 s, token_id len: 64, device: cuda:0
get time: 0.00011953 s, token_id len: 64, device: cuda:0
get time: 0.00012957 s, token_id len: 64, device: cuda:0
get time: 0.00013367 s, token_id len: 64, device: cuda:0
get time: 0.00012011 s, token_id len: 64, device: cuda:0
get time: 0.00011717 s, token_id len: 26, device: cuda:0
get time: 0.00011822 s, token_id len: 26, device: cuda:0
get time: 0.00013080 s, token_id len: 5, device: cuda:0
get time: 0.00012787 s, token_id len: 5, device: cuda:0
get time: 0.00012751 s, token_id len: 15, device: cuda:0
get time: 0.00012064 s, token_id len: 15, device: cuda:0
get time: 0.00012306 s, token_id len: 3, device: cuda:0
get time: 0.00011912 s, token_id len: 3, device: cuda:0
get time: 0.00012184 s, token_id len: 6, device: cuda:0
get time: 0.00012038 s, token_id len: 6, device: cuda:0
get time: 0.00011623 s, token_id len: 2, device: cuda:0
get time: 0.00011783 s, token_id len: 2, device: cuda:0
get time: 0.00013294 s, token_id len: 46, device: cuda:0
get time: 0.00013298 s, token_id len: 46, device: cuda:0
get time: 0.00012440 s, token_id len: 59, device: cuda:0
get time: 0.00012227 s, token_id len: 59, device: cuda:0
get time: 0.00012050 s, token_id len: 59, device: cuda:0
get time: 0.00012605 s, token_id len: 59, device: cuda:0
get time: 0.00011917 s, token_id len: 57, device: cuda:0
get time: 0.00012109 s, token_id len: 57, device: cuda:0
get time: 0.00012008 s, token_id len: 62, device: cuda:0
get time: 0.00012165 s, token_id len: 62, device: cuda:0
get time: 0.00012041 s, token_id len: 61, device: cuda:0
get time: 0.00012045 s, token_id len: 61, device: cuda:0
get time: 0.00012310 s, token_id len: 25, device: cuda:0
get time: 0.00012674 s, token_id len: 25, device: cuda:0
get time: 0.00014486 s, token_id len: 28, device: cuda:0
get time: 0.00013440 s, token_id len: 28, device: cuda:0
get time: 0.00012322 s, token_id len: 64, device: cuda:0
get time: 0.00012285 s, token_id len: 64, device: cuda:0
get time: 0.00011900 s, token_id len: 64, device: cuda:0
get time: 0.00012473 s, token_id len: 64, device: cuda:0
get time: 0.00011785 s, token_id len: 64, device: cuda:0
get time: 0.00012054 s, token_id len: 64, device: cuda:0
get time: 0.00011931 s, token_id len: 26, device: cuda:0
get time: 0.00012000 s, token_id len: 26, device: cuda:0
get time: 0.00013510 s, token_id len: 28, device: cuda:0
get time: 0.00012940 s, token_id len: 28, device: cuda:0
get time: 0.00012425 s, token_id len: 64, device: cuda:0
get time: 0.00012248 s, token_id len: 64, device: cuda:0
get time: 0.00012081 s, token_id len: 64, device: cuda:0
get time: 0.00012177 s, token_id len: 64, device: cuda:0
get time: 0.00011809 s, token_id len: 64, device: cuda:0
get time: 0.00011930 s, token_id len: 64, device: cuda:0
get time: 0.00011998 s, token_id len: 26, device: cuda:0
get time: 0.00012083 s, token_id len: 26, device: cuda:0
get time: 0.00013886 s, token_id len: 7, device: cuda:0
get time: 0.00013028 s, token_id len: 7, device: cuda:0
get time: 0.00012631 s, token_id len: 9, device: cuda:0
get time: 0.00013108 s, token_id len: 9, device: cuda:0
get time: 0.00012103 s, token_id len: 8, device: cuda:0
get time: 0.00012185 s, token_id len: 8, device: cuda:0
get time: 0.00012062 s, token_id len: 4, device: cuda:0
get time: 0.00012049 s, token_id len: 4, device: cuda:0
get time: 0.00013534 s, token_id len: 38, device: cuda:0
get time: 0.00013383 s, token_id len: 38, device: cuda:0
get time: 0.00012360 s, token_id len: 60, device: cuda:0
get time: 0.00012540 s, token_id len: 60, device: cuda:0
get time: 0.00012171 s, token_id len: 55, device: cuda:0
get time: 0.00012162 s, token_id len: 55, device: cuda:0
get time: 0.00011837 s, token_id len: 62, device: cuda:0
get time: 0.00012005 s, token_id len: 62, device: cuda:0
get time: 0.00012283 s, token_id len: 64, device: cuda:0
get time: 0.00012204 s, token_id len: 64, device: cuda:0
get time: 0.00012148 s, token_id len: 64, device: cuda:0
get time: 0.00012024 s, token_id len: 64, device: cuda:0
get time: 0.00011964 s, token_id len: 26, device: cuda:0
get time: 0.00011952 s, token_id len: 26, device: cuda:0
get time: 0.00013185 s, token_id len: 9, device: cuda:0
get time: 0.00013113 s, token_id len: 9, device: cuda:0
get time: 0.00012334 s, token_id len: 11, device: cuda:0
get time: 0.00012928 s, token_id len: 11, device: cuda:0
get time: 0.00012286 s, token_id len: 3, device: cuda:0
get time: 0.00012021 s, token_id len: 3, device: cuda:0
get time: 0.00012043 s, token_id len: 5, device: cuda:0
get time: 0.00012248 s, token_id len: 5, device: cuda:0
get time: 0.00012256 s, token_id len: 1, device: cuda:0
get time: 0.00012354 s, token_id len: 1, device: cuda:0
get time: 0.00013710 s, token_id len: 42, device: cuda:0
get time: 0.00013013 s, token_id len: 42, device: cuda:0
get time: 0.00012177 s, token_id len: 55, device: cuda:0
get time: 0.00012321 s, token_id len: 55, device: cuda:0
get time: 0.00011826 s, token_id len: 58, device: cuda:0
get time: 0.00012085 s, token_id len: 58, device: cuda:0
get time: 0.00012053 s, token_id len: 61, device: cuda:0
get time: 0.00011867 s, token_id len: 61, device: cuda:0
get time: 0.00013673 s, token_id len: 64, device: cuda:0
get time: 0.00012055 s, token_id len: 64, device: cuda:0
get time: 0.00011936 s, token_id len: 63, device: cuda:0
get time: 0.00012189 s, token_id len: 63, device: cuda:0
get time: 0.00011820 s, token_id len: 26, device: cuda:0
get time: 0.00012473 s, token_id len: 26, device: cuda:0
get time: 0.00013203 s, token_id len: 13, device: cuda:0
get time: 0.00013231 s, token_id len: 13, device: cuda:0
get time: 0.00013742 s, token_id len: 7, device: cuda:0
get time: 0.00012248 s, token_id len: 7, device: cuda:0
get time: 0.00011973 s, token_id len: 2, device: cuda:0
get time: 0.00012114 s, token_id len: 2, device: cuda:0
get time: 0.00013964 s, token_id len: 38, device: cuda:0
get time: 0.00014976 s, token_id len: 38, device: cuda:0
get time: 0.00012471 s, token_id len: 60, device: cuda:0
get time: 0.00012328 s, token_id len: 60, device: cuda:0
get time: 0.00012066 s, token_id len: 56, device: cuda:0
get time: 0.00012211 s, token_id len: 56, device: cuda:0
get time: 0.00013480 s, token_id len: 62, device: cuda:0
get time: 0.00012577 s, token_id len: 62, device: cuda:0
get time: 0.00011977 s, token_id len: 64, device: cuda:0
get time: 0.00012106 s, token_id len: 64, device: cuda:0
get time: 0.00011847 s, token_id len: 63, device: cuda:0
get time: 0.00012019 s, token_id len: 63, device: cuda:0
get time: 0.00012282 s, token_id len: 26, device: cuda:0
get time: 0.00012149 s, token_id len: 26, device: cuda:0
get time: 0.00013471 s, token_id len: 4, device: cuda:0
get time: 0.00013821 s, token_id len: 4, device: cuda:0
get time: 0.00012512 s, token_id len: 7, device: cuda:0
get time: 0.00013019 s, token_id len: 7, device: cuda:0
get time: 0.00013085 s, token_id len: 1, device: cuda:0
get time: 0.00012671 s, token_id len: 1, device: cuda:0
get time: 0.00012020 s, token_id len: 5, device: cuda:0
get time: 0.00012733 s, token_id len: 5, device: cuda:0
get time: 0.00013476 s, token_id len: 40, device: cuda:0
get time: 0.00012974 s, token_id len: 40, device: cuda:0
get time: 0.00012724 s, token_id len: 59, device: cuda:0
get time: 0.00012286 s, token_id len: 59, device: cuda:0
get time: 0.00012060 s, token_id len: 57, device: cuda:0
get time: 0.00011854 s, token_id len: 57, device: cuda:0
get time: 0.00012007 s, token_id len: 62, device: cuda:0
get time: 0.00012031 s, token_id len: 62, device: cuda:0
get time: 0.00011941 s, token_id len: 63, device: cuda:0
get time: 0.00011972 s, token_id len: 63, device: cuda:0
get time: 0.00011943 s, token_id len: 62, device: cuda:0
get time: 0.00011917 s, token_id len: 62, device: cuda:0
get time: 0.00012252 s, token_id len: 26, device: cuda:0
get time: 0.00012142 s, token_id len: 26, device: cuda:0
get time: 0.00013427 s, token_id len: 9, device: cuda:0
get time: 0.00013018 s, token_id len: 9, device: cuda:0
get time: 0.00012141 s, token_id len: 17, device: cuda:0
get time: 0.00011960 s, token_id len: 17, device: cuda:0
get time: 0.00012485 s, token_id len: 5, device: cuda:0
get time: 0.00012070 s, token_id len: 5, device: cuda:0
get time: 0.00012232 s, token_id len: 6, device: cuda:0
get time: 0.00012006 s, token_id len: 6, device: cuda:0
get time: 0.00013872 s, token_id len: 19, device: cuda:0
get time: 0.00013215 s, token_id len: 19, device: cuda:0
get time: 0.00012231 s, token_id len: 14, device: cuda:0
get time: 0.00012223 s, token_id len: 14, device: cuda:0
get time: 0.00011867 s, token_id len: 10, device: cuda:0
get time: 0.00011787 s, token_id len: 10, device: cuda:0
get time: 0.00012150 s, token_id len: 11, device: cuda:0
get time: 0.00012121 s, token_id len: 11, device: cuda:0
get time: 0.00011925 s, token_id len: 7, device: cuda:0
get time: 0.00011980 s, token_id len: 7, device: cuda:0
get time: 0.00011827 s, token_id len: 5, device: cuda:0
get time: 0.00012596 s, token_id len: 5, device: cuda:0
get time: 0.00013962 s, token_id len: 1, device: cuda:0
get time: 0.00012681 s, token_id len: 1, device: cuda:0
get time: 0.00014235 s, token_id len: 31, device: cuda:0
get time: 0.00013008 s, token_id len: 31, device: cuda:0
get time: 0.00012158 s, token_id len: 8, device: cuda:0
get time: 0.00013394 s, token_id len: 8, device: cuda:0
get time: 0.00012047 s, token_id len: 9, device: cuda:0
get time: 0.00012023 s, token_id len: 9, device: cuda:0
get time: 0.00011936 s, token_id len: 14, device: cuda:0
get time: 0.00014184 s, token_id len: 14, device: cuda:0
get time: 0.00013806 s, token_id len: 1, device: cuda:0
get time: 0.00012347 s, token_id len: 1, device: cuda:0
get time: 0.00011985 s, token_id len: 5, device: cuda:0
get time: 0.00011929 s, token_id len: 5, device: cuda:0
get time: 0.00015064 s, token_id len: 64, device: cuda:0
get time: 0.00014716 s, token_id len: 64, device: cuda:0
get time: 0.00012341 s, token_id len: 64, device: cuda:0
get time: 0.00012267 s, token_id len: 64, device: cuda:0
get time: 0.00012081 s, token_id len: 44, device: cuda:0
get time: 0.00012116 s, token_id len: 44, device: cuda:0
get time: 0.00012363 s, token_id len: 14, device: cuda:0
get time: 0.00012636 s, token_id len: 14, device: cuda:0
get time: 0.00012568 s, token_id len: 6, device: cuda:0
get time: 0.00011936 s, token_id len: 6, device: cuda:0
get time: 0.00012256 s, token_id len: 3, device: cuda:0
get time: 0.00012112 s, token_id len: 3, device: cuda:0
get time: 0.00011933 s, token_id len: 4, device: cuda:0
get time: 0.00011898 s, token_id len: 4, device: cuda:0
get time: 0.00012364 s, token_id len: 1, device: cuda:0
get time: 0.00012185 s, token_id len: 1, device: cuda:0
get time: 0.00011938 s, token_id len: 1, device: cuda:0
get time: 0.00012110 s, token_id len: 1, device: cuda:0
get time: 0.00014094 s, token_id len: 1, device: cuda:0
get time: 0.00013734 s, token_id len: 1, device: cuda:0
get time: 0.00012448 s, token_id len: 35, device: cuda:0
get time: 0.00012184 s, token_id len: 35, device: cuda:0
get time: 0.00012182 s, token_id len: 24, device: cuda:0
get time: 0.00012236 s, token_id len: 24, device: cuda:0
get time: 0.00012117 s, token_id len: 17, device: cuda:0
get time: 0.00012316 s, token_id len: 17, device: cuda:0
get time: 0.00012426 s, token_id len: 12, device: cuda:0
get time: 0.00012010 s, token_id len: 12, device: cuda:0
get time: 0.00011844 s, token_id len: 10, device: cuda:0
get time: 0.00012354 s, token_id len: 10, device: cuda:0
get time: 0.00011911 s, token_id len: 11, device: cuda:0
get time: 0.00011864 s, token_id len: 11, device: cuda:0
get time: 0.00011829 s, token_id len: 11, device: cuda:0
get time: 0.00013603 s, token_id len: 11, device: cuda:0
get time: 0.00012308 s, token_id len: 6, device: cuda:0
get time: 0.00011986 s, token_id len: 6, device: cuda:0
get time: 0.00012358 s, token_id len: 1, device: cuda:0
get time: 0.00012377 s, token_id len: 1, device: cuda:0
get time: 0.00011917 s, token_id len: 2, device: cuda:0
get time: 0.00012330 s, token_id len: 2, device: cuda:0
get time: 0.00011748 s, token_id len: 2, device: cuda:0
get time: 0.00011803 s, token_id len: 2, device: cuda:0
get time: 0.00014360 s, token_id len: 1, device: cuda:0
get time: 0.00012379 s, token_id len: 1, device: cuda:0
get time: 0.00013795 s, token_id len: 13, device: cuda:0
get time: 0.00012962 s, token_id len: 13, device: cuda:0
get time: 0.00012172 s, token_id len: 17, device: cuda:0
get time: 0.00012483 s, token_id len: 17, device: cuda:0
get time: 0.00011982 s, token_id len: 14, device: cuda:0
get time: 0.00012492 s, token_id len: 14, device: cuda:0
get time: 0.00012029 s, token_id len: 18, device: cuda:0
get time: 0.00011944 s, token_id len: 18, device: cuda:0
get time: 0.00012404 s, token_id len: 4, device: cuda:0
get time: 0.00012080 s, token_id len: 4, device: cuda:0
get time: 0.00011803 s, token_id len: 10, device: cuda:0
get time: 0.00011841 s, token_id len: 10, device: cuda:0
get time: 0.00011855 s, token_id len: 14, device: cuda:0
get time: 0.00011815 s, token_id len: 14, device: cuda:0
get time: 0.00011903 s, token_id len: 5, device: cuda:0
get time: 0.00012061 s, token_id len: 5, device: cuda:0
get time: 0.00011696 s, token_id len: 10, device: cuda:0
get time: 0.00011837 s, token_id len: 10, device: cuda:0
get time: 0.00012802 s, token_id len: 7, device: cuda:0
get time: 0.00012165 s, token_id len: 7, device: cuda:0
get time: 0.00011991 s, token_id len: 3, device: cuda:0
get time: 0.00011876 s, token_id len: 3, device: cuda:0
get time: 0.00011799 s, token_id len: 8, device: cuda:0
get time: 0.00011693 s, token_id len: 8, device: cuda:0
get time: 0.00011730 s, token_id len: 4, device: cuda:0
get time: 0.00011856 s, token_id len: 4, device: cuda:0
get time: 0.00013472 s, token_id len: 30, device: cuda:0
get time: 0.00012777 s, token_id len: 30, device: cuda:0
get time: 0.00012280 s, token_id len: 19, device: cuda:0
get time: 0.00012201 s, token_id len: 19, device: cuda:0
get time: 0.00012129 s, token_id len: 11, device: cuda:0
get time: 0.00012698 s, token_id len: 11, device: cuda:0
get time: 0.00011980 s, token_id len: 4, device: cuda:0
get time: 0.00012100 s, token_id len: 4, device: cuda:0
get time: 0.00011851 s, token_id len: 7, device: cuda:0
get time: 0.00011905 s, token_id len: 7, device: cuda:0
get time: 0.00011680 s, token_id len: 9, device: cuda:0
get time: 0.00011849 s, token_id len: 9, device: cuda:0
get time: 0.00011686 s, token_id len: 11, device: cuda:0
get time: 0.00011795 s, token_id len: 11, device: cuda:0
get time: 0.00011822 s, token_id len: 9, device: cuda:0
get time: 0.00011957 s, token_id len: 9, device: cuda:0
get time: 0.00011646 s, token_id len: 8, device: cuda:0
get time: 0.00011826 s, token_id len: 8, device: cuda:0
get time: 0.00011728 s, token_id len: 5, device: cuda:0
get time: 0.00011784 s, token_id len: 5, device: cuda:0
get time: 0.00011755 s, token_id len: 8, device: cuda:0
get time: 0.00011750 s, token_id len: 8, device: cuda:0
get time: 0.00011782 s, token_id len: 5, device: cuda:0
get time: 0.00012010 s, token_id len: 5, device: cuda:0
get time: 0.00013630 s, token_id len: 51, device: cuda:0
get time: 0.00013511 s, token_id len: 51, device: cuda:0
get time: 0.00012416 s, token_id len: 54, device: cuda:0
get time: 0.00012366 s, token_id len: 54, device: cuda:0
get time: 0.00012203 s, token_id len: 55, device: cuda:0
get time: 0.00012213 s, token_id len: 55, device: cuda:0
get time: 0.00012077 s, token_id len: 55, device: cuda:0
get time: 0.00012153 s, token_id len: 55, device: cuda:0
get time: 0.00012203 s, token_id len: 56, device: cuda:0
get time: 0.00012135 s, token_id len: 56, device: cuda:0
get time: 0.00012098 s, token_id len: 52, device: cuda:0
get time: 0.00012028 s, token_id len: 52, device: cuda:0
get time: 0.00012016 s, token_id len: 51, device: cuda:0
get time: 0.00012676 s, token_id len: 51, device: cuda:0
get time: 0.00012125 s, token_id len: 58, device: cuda:0
get time: 0.00012201 s, token_id len: 58, device: cuda:0
get time: 0.00012068 s, token_id len: 64, device: cuda:0
get time: 0.00012112 s, token_id len: 64, device: cuda:0
get time: 0.00012010 s, token_id len: 64, device: cuda:0
get time: 0.00012056 s, token_id len: 64, device: cuda:0
get time: 0.00012044 s, token_id len: 64, device: cuda:0
get time: 0.00012146 s, token_id len: 64, device: cuda:0
get time: 0.00011962 s, token_id len: 64, device: cuda:0
get time: 0.00012015 s, token_id len: 64, device: cuda:0
get time: 0.00012011 s, token_id len: 35, device: cuda:0
get time: 0.00011997 s, token_id len: 35, device: cuda:0
get time: 0.00013922 s, token_id len: 63, device: cuda:0
get time: 0.00013054 s, token_id len: 63, device: cuda:0
get time: 0.00012278 s, token_id len: 64, device: cuda:0
get time: 0.00013744 s, token_id len: 64, device: cuda:0
get time: 0.00012282 s, token_id len: 64, device: cuda:0
get time: 0.00012223 s, token_id len: 64, device: cuda:0
get time: 0.00011909 s, token_id len: 64, device: cuda:0
get time: 0.00012136 s, token_id len: 64, device: cuda:0
get time: 0.00012068 s, token_id len: 64, device: cuda:0
get time: 0.00012185 s, token_id len: 64, device: cuda:0
get time: 0.00012064 s, token_id len: 64, device: cuda:0
get time: 0.00012152 s, token_id len: 64, device: cuda:0
get time: 0.00014550 s, token_id len: 64, device: cuda:0
get time: 0.00012187 s, token_id len: 64, device: cuda:0
get time: 0.00011949 s, token_id len: 35, device: cuda:0
get time: 0.00012175 s, token_id len: 35, device: cuda:0
get time: 0.00013898 s, token_id len: 63, device: cuda:0
get time: 0.00013085 s, token_id len: 63, device: cuda:0
get time: 0.00013948 s, token_id len: 64, device: cuda:0
get time: 0.00012688 s, token_id len: 64, device: cuda:0
get time: 0.00012166 s, token_id len: 64, device: cuda:0
